24	58
24	99
24	72
24	90
24	93
25	48
25	44
25	53
25	86
26	48
26	61
26	33
26	44
26	55
26	71
27	72
27	67
27	90
27	97
20	15
20	41
20	98
20	83
21	46
21	88
21	70
21	91
21	80
22	12
22	44
22	53
22	40
22	85
23	89
23	72
23	91
28	77
28	59
28	57
28	60
28	92
28	96
29	30
29	82
29	9
29	83
29	95
29	94
29	68
4	83
4	81
4	85
8	80
8	93
8	97
59	54
59	41
59	62
59	66
59	68
59	100
59	94
59	96
58	46
58	93
58	92
58	84
58	85
55	12
55	48
55	33
55	30
55	51
55	35
55	82
54	16
54	77
54	73
54	72
54	71
54	95
54	87
57	47
57	76
57	66
57	83
57	100
57	94
57	79
57	96
56	70
56	52
56	99
56	88
56	89
56	72
56	67
56	92
56	97
51	48
51	61
51	44
50	12
50	33
50	44
50	35
50	38
50	40
50	53
53	12
53	30
53	77
52	31
52	87
52	77
52	97
52	66
52	82
52	84
52	96
88	69
88	47
88	5
88	99
88	98
88	90
88	92
88	32
88	63
89	64
89	67
89	80
89	43
89	41
89	99
89	74
89	70
89	93
82	96
82	76
82	75
82	73
82	100
82	93
82	81
82	87
82	79
82	85
83	11
83	76
83	46
83	95
83	75
83	73
83	66
83	6
83	81
83	79
83	96
80	34
80	5
80	72
80	67
80	69
80	90
81	49
81	41
81	60
81	75
81	63
81	84
86	45
86	94
86	60
86	71
86	68
86	95
87	17
87	75
87	73
87	84
84	77
84	13
84	15
84	100
84	60
84	99
84	2
84	92
84	79
85	65
85	17
85	18
85	45
85	41
85	2
85	71
85	68
85	92
3	49
3	45
3	93
7	98
7	63
7	69
100	66
100	68
100	77
100	71
100	99
100	15
100	14
100	18
39	46
39	95
39	77
39	6
39	78
38	13
38	19
38	76
38	75
38	96
33	48
33	17
33	44
32	98
32	72
32	90
32	93
31	96
30	61
30	35
37	91
37	90
37	93
36	15
36	98
36	64
35	48
35	18
35	40
34	99
34	97
34	91
34	93
34	74
60	92
60	46
60	45
60	76
60	70
60	68
61	12
61	48
61	44
61	40
62	19
62	75
62	70
62	95
62	78
63	98
63	91
63	97
63	67
64	43
64	99
64	76
64	67
64	93
65	1
65	96
66	41
66	1
66	94
66	79
67	97
67	91
67	95
67	74
68	77
68	14
68	40
68	94
69	10
69	47
69	98
6	76
6	92
6	78
99	49
99	42
99	74
99	72
99	70
99	90
99	93
99	97
99	10
98	49
98	47
98	43
98	97
98	93
98	95
98	79
91	43
91	93
91	49
90	72
90	93
93	74
93	72
93	97
92	45
92	96
92	78
92	19
95	96
95	75
95	73
95	71
95	78
95	19
95	18
94	96
94	78
97	74
97	72
97	70
97	14
97	16
96	74
96	17
11	1
10	42
13	77
13	5
14	18
17	71
17	78
19	76
48	44
48	77
49	47
49	70
46	41
46	79
47	70
44	40
44	71
45	77
45	73
42	70
43	74
41	75
41	71
73	79
73	78
